,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
198,Isaiah Thomas,PHX,35,1,0,1,3.6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-5
198,Jordan Hawkins,NOP,22,3,0,3,3.8,0,0,1.3,0,0,1,0,0,0,0,0,0.7,0.7,0,0,0,0,0.3,0.8,0,0,0.3
198,Kobe Brown,LAC,24,3,0,3,3.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0.3,0.8,0,0,1
198,Leonard Miller,MIN,20,3,2,1,2.3,0,0,0.3,0,0,0.3,0,0,0,0,0.3,1,1.3,0,0,0,0,0,1.6,0,0,2.3
198,Lindy Waters III,OKC,26,3,3,0,2.8,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-1.3
198,Matt Ryan,NOP,27,1,0,1,2.5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,3.2,0,0,2
198,Olivier-Maxence Prosper,DAL,21,3,1,2,3,0,0,0.7,0,0,0,0,0,0,0,0,1,1,0.3,0,0,0,0,1.7,0,0,-2
198,Orlando Robinson,MIA,23,1,0,1,2.5,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,3
198,T.J. Warren,MIN,30,3,2,1,3.8,0,0,0.7,0,0,0.3,0,0,0,0,0.7,0.3,1,0.3,0,0,0,0,1.7,0,0,2.3
198,Thaddeus Young,PHX,36,1,0,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
198,Thanasis Antetokounmpo,MIL,31,2,0,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,3,0,0,1
