,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
230,Trayce Jackson-Davis,GSW,24,68,39,29,16.6,7.9,3.4,4.9,70.2,0,0,0,1.1,1.9,56.1,2,3,5,1.2,0.7,0.4,1.1,1.6,19.7,6,0,0.5
231,Jordan Hawkins,NOP,22,67,38,29,17.3,7.8,2.6,6.8,38.2,1.6,4.4,36.6,1,1.2,83.8,0.4,1.8,2.2,1,0.6,0.3,0.1,1.1,12.6,0,0,0.2
232,Markelle Fultz,ORL,26,43,25,18,21.2,7.8,3.6,7.6,47.2,0.1,0.4,22.2,0.5,0.8,69.7,1.3,1.9,3.2,2.8,1.2,1,0.3,1.5,18.6,0,0,0.3
233,Danté Exum,DAL,28,55,36,19,19.8,7.8,2.9,5.5,53.3,1,2,49.1,1,1.2,77.9,0.5,2.3,2.7,2.9,0.9,0.4,0.1,1.5,15.9,0,0,4.3
234,Isaiah Hartenstein,NYK,26,75,47,28,25.3,7.8,3.1,4.9,64.4,0,0,33.3,1.5,2.1,70.7,3.3,5.1,8.3,2.5,1.2,1.2,1.1,2.8,27.2,10,0,5.4
235,Royce O'Neale,PHX,31,79,38,41,24.7,7.7,2.7,6.8,39.7,2,5.3,37,0.3,0.4,68.6,0.8,4,4.8,2.8,0.9,0.7,0.6,2.2,20.6,4,0,1.5
236,RaiQuan Gray,SAS,24,3,2,1,13,7.7,3.3,5.7,58.8,1,2.3,42.9,0,0,0,0.7,1.7,2.3,2,0.3,0.3,0.3,0,15.1,0,0,4.7
237,Nikola Jović,MIA,21,46,24,22,19.5,7.7,2.8,6.1,45.2,1.4,3.5,39.9,0.7,1,70.2,0.5,3.6,4.2,2,0.9,0.5,0.3,1.8,17.2,0,0,3.2
238,Precious Achiuwa,NYK,24,74,40,34,21.9,7.6,3.2,6.3,50.1,0.4,1.3,26.8,0.9,1.5,61.6,2.6,4,6.6,1.3,1.1,0.6,0.9,1.9,21,9,0,-0.6
239,Cody Martin,CHA,28,28,7,21,26.9,7.5,2.9,7.7,38.1,1,3.1,31.4,0.7,1.2,60.6,0.7,3.2,3.9,3.7,1.6,1.1,0.6,1.7,21.6,1,0,-5.6
240,Brice Sensabaugh,UTA,20,32,8,24,18.3,7.5,2.7,6.8,39,1.1,3.6,29.6,1.2,1.3,90.2,0.5,2.7,3.2,1.7,1.5,0.4,0.2,1.3,14.2,1,0,-5.4
241,Toumani Camara,POR,24,70,19,51,24.8,7.5,2.8,6.3,45,0.8,2.5,33.7,1.1,1.4,75.8,2,2.9,4.9,1.2,1.2,0.9,0.5,2.5,18.3,2,0,-2.7
242,Cameron Payne,PHI,29,78,46,32,16.7,7.4,2.7,6.2,43.2,1.3,3.4,39,0.7,0.9,86.6,0.3,1.2,1.5,2.6,0.8,0.5,0.1,1.6,14.3,1,0,-0.1
243,Christian Braun,DEN,23,82,57,25,20.2,7.3,2.7,5.9,46,0.8,2,38.4,1.1,1.6,69.4,1,2.8,3.7,1.6,0.7,0.5,0.4,1.7,16.4,2,0,-0.2
243,Paul Reed,PHI,25,82,47,35,19.4,7.3,3.2,5.9,54,0.3,0.7,36.8,0.7,1,71.8,2.4,3.6,6,1.3,0.8,0.8,1,2.4,21.2,8,0,1.2
245,Taylor Hendricks,UTA,20,40,13,27,21.4,7.3,2.7,6,45,1.3,3.5,37.9,0.6,0.7,79.3,1.2,3.5,4.6,0.8,0.7,0.7,0.8,1.9,17.7,1,0,-3.8
246,Jaden Hardy,DAL,21,73,44,29,13.6,7.3,2.7,6.6,40.7,1.1,3.1,36.2,0.8,1,77.6,0.3,1.5,1.8,1.5,0.8,0.3,0.1,1.1,11.9,0,0,-1.7
247,Trey Lyles,SAC,28,58,33,25,20,7.2,2.5,5.5,44.5,1.4,3.8,38.4,0.8,1.2,70,1.1,3.4,4.4,1.2,0.7,0.3,0.3,1.5,15.6,1,0,3.1
248,Johnny Juzang,UTA,23,20,5,15,18.6,7.2,2.6,5.5,46.4,1.6,3.9,41.6,0.5,0.7,71.4,0.4,1.5,1.8,1.2,0.7,0.2,0.1,1.5,11.3,0,0,-0.4
249,Kevin Knox II,DET,24,31,4,27,18.1,7.2,2.8,6,46.2,1,3,33,0.6,0.7,90.9,0.6,1.8,2.4,0.7,0.7,0.4,0.2,1.6,12.4,1,0,-2.7
250,Lamar Stevens,MEM,26,38,22,16,14.7,7.2,2.8,6.3,45,0.4,1.2,30.4,1.1,1.4,77.8,0.9,2.4,3.3,0.7,0.6,0.6,0.6,1.2,15.2,0,0,0.2
251,Landry Shamet,WAS,27,46,6,40,15.8,7.1,2.6,6,43.1,1.2,3.4,33.8,0.8,1,82.6,0.3,1,1.3,1.2,0.7,0.5,0.2,1.7,12.1,0,0,-3.2
252,Jose Alvarado,NOP,26,56,38,18,18.4,7.1,2.5,6.2,41.2,1.4,3.7,37.7,0.6,0.9,67.3,0.4,1.8,2.3,2.1,0.7,1.1,0.3,1.6,16.2,0,0,4.3
253,James Wiseman,DET,23,63,9,54,17.3,7.1,3,4.8,61.3,0,0,0,1.1,1.6,70.6,1.7,3.6,5.3,0.9,1,0.2,0.6,2.2,16.1,7,0,-5.2
254,Naji Marshall,NOP,26,66,41,25,19,7.1,2.6,5.6,46.3,0.9,2.3,38.7,1,1.3,79.1,0.8,2.8,3.6,1.9,1,0.7,0.2,1.4,16.1,0,0,3.1
255,Quentin Grimes,DET,24,51,32,19,20.1,7,2.4,6.4,37.2,1.6,4.7,33.8,0.7,0.9,75.6,0.3,1.7,2,1.3,0.5,0.7,0.1,1.5,13.3,0,0,-0.8
256,Vasilije Micić,CHA,30,60,34,26,19.6,7,2.7,6.2,43,0.7,2.6,27.9,1,1.3,81.3,0.2,1.2,1.5,4.4,1.7,0.5,0.1,1.1,15.6,4,0,-1.2
257,Jordan Nwora,TOR,25,52,14,38,13.7,7,2.7,5.8,46.2,0.8,2.5,33.6,0.8,1,83,0.5,2.3,2.9,1.2,1,0.5,0.3,0.9,13.5,2,0,-3.8
258,Javon Freeman-Liberty,TOR,24,22,3,19,18.3,7,2.5,5.6,44.4,0.5,1.9,23.8,1.5,1.6,91.7,0.7,2.5,3.2,1.8,1.1,0.5,0.2,1.3,14.3,0,0,-7.2
259,Aaron Wiggins,OKC,25,78,55,23,15.7,6.9,2.7,4.8,56.2,0.8,1.6,49.2,0.7,0.9,78.9,0.8,1.6,2.4,1.1,0.7,0.7,0.2,1.2,13.6,0,0,1.2
260,Christian Wood,LAL,28,50,28,22,17.4,6.9,2.5,5.3,46.6,0.7,2.3,30.7,1.3,1.9,70.2,0.8,4.3,5.1,1,1,0.3,0.7,1.4,16.4,2,0,0.1
261,Bones Hyland,LAC,23,37,20,17,14.6,6.9,2.6,6.8,38.6,1.2,3.6,32.6,0.5,0.6,78.3,0.1,1.4,1.5,2.5,1.2,0.7,0.1,1.4,13.7,1,0,-1.8
